Product type : SPD1305X
Product SRLN : SPD13DCQ7R0934
Product Software Version : 2.1.1.9R1
Number of channels : 1
Software Version : V1.0.2
File type: CSV
File version: 1.0
Interval : 0.5S
Date : 2025-03-25 11:10:47

Time,CH1 VOLT,CH1 CURR
427.579,30.000,1.169
428.100,30.000,1.145
428.610,30.000,1.139
429.133,30.000,1.108
429.650,30.000,1.114
430.184,30.000,1.074
430.697,30.000,1.057
431.224,30.000,1.042
431.740,30.000,1.043
432.255,30.000,1.041
432.788,30.000,1.041
433.307,30.000,1.046
433.841,30.000,1.040
434.360,30.000,1.042
434.891,30.000,1.041
435.406,30.000,1.052
435.937,30.000,1.037
436.444,30.000,1.040
436.975,30.000,1.044
437.507,30.000,1.043
438.024,30.000,1.057
438.543,30.000,1.046
439.059,30.000,1.237
439.580,30.000,1.056
440.098,30.000,1.070
440.616,30.000,1.049
441.132,30.000,1.058
441.666,30.000,1.069
442.173,30.000,1.052
442.690,30.000,1.053
443.210,30.000,1.044
443.741,30.000,1.067
444.259,30.000,1.048
444.780,30.000,1.045
445.297,30.000,1.046
445.817,30.000,1.054
446.335,30.000,1.131
446.855,30.000,1.107
447.390,30.000,1.043
447.899,30.000,1.052
448.421,30.000,1.070
448.935,30.000,1.043
449.460,30.000,1.043
449.992,30.000,1.054
450.526,30.000,1.058
451.043,30.000,1.040
451.577,30.000,1.055
452.109,30.000,1.062
452.618,30.000,1.089
453.139,30.000,1.042
453.659,30.000,1.069
454.175,30.000,1.041
454.705,30.000,1.099
455.240,30.000,1.041
455.760,30.000,1.060
456.293,30.000,1.040
456.823,30.000,1.080
457.326,30.000,1.050
457.864,30.000,1.058
458.398,30.000,1.077
458.921,30.000,1.083
459.437,30.000,1.043
459.971,30.000,1.075
460.503,30.000,1.058
461.015,30.000,1.057
461.556,30.000,1.045
462.074,30.000,1.036
462.606,30.000,1.042
463.126,30.000,1.069
463.656,30.000,1.056
464.172,30.000,1.035
464.690,30.000,1.045
465.234,30.000,1.030
465.749,30.000,1.070
466.270,30.000,1.027
466.784,30.000,1.083
467.306,30.000,1.041
467.826,30.000,1.058
468.357,30.000,1.045
468.875,30.000,1.042
469.407,30.000,1.065
469.924,30.000,1.060
470.440,30.000,1.061
470.970,30.000,1.061
471.497,30.000,1.071
472.015,30.000,1.056
472.535,30.000,1.060
473.053,30.000,1.045
473.586,30.000,1.065
474.117,30.000,1.048
474.634,30.000,1.061
475.152,30.000,1.046
475.685,30.000,1.049
476.189,30.000,1.044
476.723,30.000,1.055
477.242,30.000,1.052
477.775,30.000,1.094
478.296,30.000,1.036
478.813,30.000,1.058
479.334,30.000,1.041
479.850,30.000,1.070
480.400,30.000,1.034
480.916,30.000,1.028
481.447,30.000,1.029
481.966,30.000,1.030
482.490,30.000,1.054
483.005,30.000,1.028
483.534,30.000,1.031
484.055,30.000,1.044
484.576,30.000,1.070
485.117,30.000,1.034
485.627,30.000,1.077
486.160,30.000,1.073
486.677,30.000,1.062
487.195,30.000,1.045
487.716,30.000,1.068
488.236,30.000,1.070
488.757,30.000,1.076
489.276,30.000,1.047
489.806,30.000,1.048
490.320,30.000,1.063
490.859,30.000,1.114
491.377,30.000,1.050
491.909,30.000,1.082
492.426,30.000,1.079
492.942,30.000,1.090
493.462,30.000,1.066
493.980,30.000,1.104
494.497,30.000,1.082
495.030,30.000,1.073
495.561,30.000,1.058
496.083,30.000,1.047
496.600,30.000,1.067
497.117,30.000,1.078
497.635,30.000,1.066
498.156,30.000,1.047
498.671,30.000,1.060
499.205,30.000,1.070
499.739,30.000,1.078
500.274,30.000,1.055
500.780,30.000,1.089
501.295,30.000,1.055
501.830,30.000,1.065
502.345,30.000,1.047
502.865,30.000,1.081
503.386,30.000,1.046
503.916,30.000,1.054
504.438,30.000,1.058
504.983,30.000,1.044
505.503,30.000,1.116
506.032,30.000,1.050
506.567,30.000,1.050
507.086,30.000,1.049
507.622,30.000,1.081
508.141,30.000,1.046
508.658,30.000,1.055
509.180,30.000,1.049
509.709,30.000,1.061
510.243,30.000,1.057
510.758,30.000,1.055
511.276,30.000,1.068
511.793,30.000,1.071
512.327,30.000,1.060
512.857,30.000,1.054
513.387,30.000,1.052
513.900,30.000,1.071
514.423,30.000,1.059
514.943,30.000,1.047
515.476,30.000,1.058
515.995,30.000,1.050
516.510,30.000,1.057
517.043,30.000,1.046
517.573,30.000,1.046
518.097,30.000,1.050
518.633,30.000,1.071
519.150,30.000,1.050
519.686,30.000,1.079
520.201,30.000,1.063
520.720,30.000,1.079
521.238,30.000,1.044
521.767,30.000,1.068
522.286,30.000,1.072
522.804,30.000,1.069
523.325,30.000,1.041
523.853,30.000,1.096
524.377,30.000,1.076
524.895,30.000,1.111
525.414,30.000,1.059
525.931,30.000,1.079
526.450,30.000,1.065
526.983,30.000,1.122
527.516,30.000,1.060
528.037,30.000,1.066
528.563,30.000,1.077
529.066,30.000,1.050
529.582,30.000,1.068
530.099,30.000,1.046
530.633,30.000,1.086
531.152,30.000,1.060
531.669,30.000,1.071
532.186,30.000,1.050
532.721,30.000,1.073
533.237,30.000,1.065
533.767,30.000,1.054
534.296,30.000,1.051
534.802,30.000,1.059
